gvkeyx,bkvlps,dvrate,epsx12,prccm,datadate,tic
000003,,21.7680,8.1870,987.4800,20090731,I0003
000003,,21.7680,8.1870,1020.6200,20090831,I0003
000003,,21.3720,13.1330,1057.0800,20090930,I0003
000003,,21.3720,13.1330,1036.1900,20091031,I0003
000003,,21.3720,13.1330,1095.6300,20091130,I0003
000003,513.5773,22.6320,51.7370,1115.1000,20091231,I0003
000003,,22.6320,51.7370,1073.8700,20100131,I0003
000003,,22.6320,51.7370,1104.4900,20100228,I0003
000003,,21.8360,61.9250,1169.4300,20100331,I0003
000003,,21.8360,61.9250,1186.6900,20100430,I0003
000003,,21.8360,61.9250,1089.4100,20100531,I0003
000003,,22.3080,68.2410,1030.7100,20100630,I0003
000003,,22.3080,68.2410,1101.6000,20100731,I0003
000003,,22.3080,68.2410,1049.3300,20100831,I0003
000003,,22.6440,73.1010,1141.2000,20100930,I0003
000003,,22.6440,73.1010,1183.2600,20101031,I0003
000003,,22.6440,73.1010,1180.5500,20101130,I0003
000003,579.1403,24.1400,78.5690,1257.6400,20101231,I0003
000003,,24.1400,78.5690,1286.1200,20110131,I0003
000003,,24.1400,78.5690,1327.2200,20110228,I0003
000003,,24.6360,82.4890,1325.8300,20110331,I0003
000003,,24.6360,82.4890,1363.6100,20110430,I0003
000003,,24.6360,82.4890,1345.2000,20110531,I0003
000003,,25.9400,85.0440,1320.6400,20110630,I0003
000003,,25.9400,85.0440,1292.2800,20110731,I0003
000003,,25.9400,85.0440,1218.8900,20110831,I0003
000003,,25.9920,88.1250,1131.4200,20110930,I0003
000003,,25.9920,88.1250,1253.3000,20111031,I0003
000003,,25.9920,88.1250,1246.9600,20111130,I0003
000003,613.1412,29.1200,88.1240,1257.6000,20111231,I0003
000003,,29.1200,88.1240,1312.4100,20120131,I0003
000003,,29.1200,88.1240,1365.6800,20120229,I0003
000003,,28.3480,89.6820,1408.4700,20120331,I0003
000003,,28.3480,89.6820,1397.9100,20120430,I0003
000003,,28.3480,89.6820,1310.3300,20120531,I0003
000003,,29.7960,89.0540,1362.1600,20120630,I0003
000003,,29.7960,89.0540,1379.3200,20120731,I0003
000003,,29.7960,89.0540,1406.5800,20120831,I0003
000003,,31.0840,87.6180,1440.6700,20120930,I0003
000003,,31.0840,87.6180,1412.1580,20121031,I0003
000003,,31.0840,87.6180,1416.1800,20121130,I0003
000003,666.9655,35.7400,87.6030,1426.1900,20121231,I0003
000003,,35.7400,87.6030,1498.1100,20130131,I0003
000003,,35.7400,87.6030,1514.6800,20130228,I0003
000003,,31.8160,88.7970,1569.1900,20130331,I0003
000003,,31.8160,88.7970,1597.5700,20130430,I0003
000003,,31.8160,88.7970,1630.7400,20130531,I0003
000003,,34.4240,92.0740,1606.2800,20130630,I0003
000003,,34.4240,92.0740,1685.7300,20130731,I0003
000003,,34.4240,92.0740,1632.9700,20130831,I0003
000003,,35.6360,95.5490,1681.5500,20130930,I0003
000003,,35.6360,95.5490,1756.5400,20131031,I0003
000003,,35.6360,95.5490,1805.8100,20131130,I0003
000003,715.8362,38.0840,101.4670,1848.3600,20131231,I0003
000003,,38.0840,101.4670,1782.5900,20140131,I0003
000003,,38.0840,101.4670,1859.4500,20140228,I0003
000003,,36.7600,102.1600,1872.3400,20140331,I0003
000003,,36.7600,102.1600,1883.9500,20140430,I0003
000003,,36.7600,102.1600,1923.5700,20140531,I0003
000003,,39.0360,104.4560,1960.2300,20140630,I0003
000003,,39.0360,104.4560,1930.6700,20140731,I0003
000003,,39.0360,104.4560,2003.3700,20140831,I0003
000003,,40.0880,107.3480,1972.2900,20140930,I0003
000003,,40.0880,107.3480,2018.0500,20141031,I0003
000003,,40.0880,107.3480,2067.5600,20141130,I0003
000003,715.8362,41.8880,103.7100,2058.9000,20141231,I0003
000003,,41.8880,103.7100,1994.9900,20150131,I0003
000003,,41.8880,103.7100,2104.5000,20150228,I0003
000003,,42.2080,100.6570,2067.8900,20150331,I0003
000003,,42.2080,100.6570,2085.5100,20150430,I0003
000003,,42.2080,100.6570,2107.3900,20150531,I0003
000003,,42.7760,96.3030,2063.1100,20150630,I0003
000003,,42.7760,96.3030,2103.8400,20150731,I0003
000003,,42.7760,96.3030,1972.1800,20150831,I0003
000003,,43.1600,,1920.0300,20150930,I0003
